id_municipio,idhm,idhm_educacao,idhm_renda,idhm_longevidade,pib_per_capita,indice_gini,taxa_abandono_fundamental,populacao_estimada,porte_municipio
5107925,0.761,0.699,0.769,0.815,25406.48,0.493,1.91,8811,Pequeno I (< 20k)
5208608,0.736,0.672,0.746,0.79,31984.31,0.498,1.05,2982,Pequeno I (< 20k)
2101707,0.719,0.652,0.686,0.82,16414.36,0.535,2.53,38657,Pequeno II (20k - 50k)
2701308,0.612,0.534,0.589,0.713,14529.25,0.576,2.65,3414,Pequeno I (< 20k)
2703809,0.609,0.531,0.586,0.71,37731.22,0.551,1.83,16751,Pequeno I (< 20k)
2924207,0.621,0.544,0.597,0.722,20834.12,0.572,2.44,5508,Pequeno I (< 20k)
2109452,0.64,0.565,0.614,0.741,13254.21,0.547,1.62,3760,Pequeno I (< 20k)
2610608,0.636,0.561,0.611,0.737,12809.1,0.508,1.73,18517,Pequeno I (< 20k)
3135076,0.747,0.684,0.755,0.802,67691.81,0.542,0.5,9984,Pequeno I (< 20k)
2913457,0.61,0.531,0.587,0.711,10383.0,0.555,2.38,38987,Pequeno II (20k - 50k)
5201108,0.722,0.656,0.733,0.776,51071.88,0.498,1.84,5874,Pequeno I (< 20k)
2607208,0.693,0.624,0.662,0.794,38202.35,0.545,2.27,3801,Pequeno I (< 20k)
4205902,0.787,0.729,0.79,0.842,54881.0,0.477,1.32,1809,Pequeno I (< 20k)
4113908,0.791,0.733,0.793,0.846,41375.13,0.472,1.28,5555,Pequeno I (< 20k)
3300407,0.766,0.705,0.772,0.821,71990.83,0.52,1.38,3631,Pequeno I (< 20k)
2301208,0.689,0.619,0.659,0.79,19752.94,0.491,3.13,28489,Pequeno II (20k - 50k)
4106902,0.76,0.7,0.766,0.815,29315.36,0.469,1.04,12836,Pequeno I (< 20k)
2308351,0.61,0.532,0.587,0.711,13090.97,0.543,1.91,16712,Pequeno I (< 20k)
3162708,0.798,0.74,0.801,0.853,74362.22,0.526,0.99,9931,Pequeno I (< 20k)
1100296,0.663,0.581,0.649,0.76,34341.91,0.503,2.61,6114,Pequeno I (< 20k)
2100600,0.795,0.736,0.754,0.896,26781.48,0.521,2.59,6478,Pequeno I (< 20k)
3301009,0.806,0.749,0.808,0.861,58937.28,0.451,0.69,11446,Pequeno I (< 20k)
4318408,0.812,0.757,0.813,0.867,75793.43,0.476,1.19,30313,Pequeno II (20k - 50k)
2603454,0.676,0.604,0.647,0.777,11799.26,0.532,3.11,3581,Pequeno I (< 20k)
2909802,0.617,0.539,0.594,0.718,15296.84,0.553,2.1,124254,Grande (100k - 500k)
4121752,0.802,0.746,0.803,0.857,44491.26,0.481,1.22,6289,Pequeno I (< 20k)
2917201,0.633,0.557,0.608,0.734,25438.31,0.528,2.18,8207,Pequeno I (< 20k)
3105608,0.7,0.632,0.712,0.755,33389.83,0.454,1.65,30943,Pequeno II (20k - 50k)
4208450,0.794,0.737,0.796,0.849,27302.82,0.458,1.33,31612,Pequeno II (20k - 50k)
3141603,0.763,0.702,0.769,0.818,39636.6,0.47,1.31,13758,Pequeno I (< 20k)
4104808,0.742,0.68,0.749,0.797,35319.97,0.481,0.79,2829,Pequeno I (< 20k)
5220108,0.753,0.69,0.761,0.807,31927.55,0.538,1.1,21802,Pequeno II (20k - 50k)
2208106,0.641,0.566,0.616,0.742,16084.43,0.553,2.96,18097,Pequeno I (< 20k)
2302800,0.66,0.586,0.632,0.761,13850.06,0.555,2.34,328020,Grande (100k - 500k)
3300704,0.774,0.714,0.78,0.829,46925.19,0.541,1.17,3689,Pequeno I (< 20k)
2201150,0.664,0.591,0.636,0.765,14412.86,0.599,3.06,18173,Pequeno I (< 20k)
4211900,0.781,0.723,0.784,0.836,49060.64,0.476,1.16,25147,Pequeno II (20k - 50k)
4117800,0.787,0.729,0.789,0.842,33096.4,0.499,0.2,22354,Pequeno II (20k - 50k)
4115200,0.797,0.74,0.799,0.852,26792.26,0.476,2.11,28586,Pequeno II (20k - 50k)
3122603,0.745,0.682,0.753,0.8,76567.29,0.498,0.72,69467,Médio (50k - 100k)
3303302,0.751,0.689,0.759,0.806,41891.75,0.541,1.25,10011,Pequeno I (< 20k)
4212809,0.798,0.741,0.799,0.853,36524.68,0.476,1.85,64647,Médio (50k - 100k)
1721208,0.654,0.571,0.64,0.751,17737.67,0.542,2.31,1500,Pequeno I (< 20k)
2300408,0.678,0.607,0.649,0.779,30555.18,0.537,2.11,215643,Grande (100k - 500k)
2614402,0.652,0.578,0.625,0.753,22923.46,0.513,2.3,25119,Pequeno II (20k - 50k)
2304400,0.681,0.61,0.651,0.782,29096.95,0.571,3.05,15115,Pequeno I (< 20k)
2917607,0.65,0.576,0.624,0.751,23374.46,0.527,3.13,3292,Pequeno I (< 20k)
2303709,0.62,0.543,0.596,0.721,14609.34,0.551,1.88,1681,Pequeno I (< 20k)
3305752,0.786,0.727,0.79,0.841,100005.8,0.458,0.84,5979,Pequeno I (< 20k)
2304509,0.658,0.585,0.631,0.759,12234.34,0.553,1.69,5154,Pequeno I (< 20k)
4212205,0.767,0.707,0.772,0.822,30525.57,0.426,0.87,26494,Pequeno II (20k - 50k)
2611606,0.653,0.579,0.626,0.754,12665.28,0.565,1.89,17063,Pequeno I (< 20k)
2904308,0.689,0.619,0.659,0.79,23023.5,0.543,2.67,49824,Pequeno II (20k - 50k)
4101002,0.763,0.703,0.768,0.818,52824.71,0.458,0.41,8181,Pequeno I (< 20k)
2507507,0.592,0.512,0.571,0.693,14022.11,0.54,1.95,23726,Pequeno II (20k - 50k)
3127503,0.776,0.716,0.781,0.831,68477.46,0.492,2.33,10181,Pequeno I (< 20k)
2408003,0.646,0.571,0.619,0.747,25409.7,0.512,2.65,4004,Pequeno I (< 20k)
2918704,0.725,0.658,0.691,0.826,11215.82,0.567,2.45,7999,Pequeno I (< 20k)
3138203,0.75,0.688,0.758,0.805,27592.06,0.527,0.39,9808,Pequeno I (< 20k)
2208403,0.706,0.637,0.674,0.807,22048.79,0.53,2.0,11718,Pequeno I (< 20k)
4321808,0.767,0.708,0.772,0.822,80552.71,0.534,1.06,7636,Pequeno I (< 20k)
3151800,0.748,0.685,0.755,0.803,63119.92,0.551,0.44,13938,Pequeno I (< 20k)
3302858,0.802,0.745,0.805,0.857,70306.1,0.495,1.07,8946,Pequeno I (< 20k)
1718840,0.751,0.678,0.728,0.848,21585.88,0.556,1.87,2373,Pequeno I (< 20k)
4204301,0.786,0.728,0.789,0.841,31397.0,0.483,0.71,3215,Pequeno I (< 20k)
3113909,0.788,0.729,0.792,0.843,43683.72,0.507,1.16,8953,Pequeno I (< 20k)
4316402,0.813,0.758,0.813,0.868,59729.77,0.466,0.45,25060,Pequeno II (20k - 50k)
5200258,0.769,0.708,0.776,0.823,38856.25,0.501,1.31,5718,Pequeno I (< 20k)
3303500,0.735,0.671,0.744,0.79,79445.88,0.487,0.57,12894,Pequeno I (< 20k)
1500107,0.71,0.632,0.691,0.807,15288.46,0.526,2.45,51956,Médio (50k - 100k)
2613305,0.696,0.627,0.665,0.797,12373.56,0.557,2.57,27284,Pequeno II (20k - 50k)
2208650,0.657,0.583,0.63,0.758,12899.08,0.527,2.86,12429,Pequeno I (< 20k)
2918209,0.646,0.571,0.62,0.747,15780.08,0.582,1.59,13008,Pequeno I (< 20k)
2933307,0.726,0.659,0.692,0.827,8521.2,0.547,2.67,47858,Pequeno II (20k - 50k)
3106705,0.771,0.711,0.777,0.826,37934.96,0.534,0.69,17338,Pequeno I (< 20k)
5103403,0.809,0.752,0.812,0.863,27005.48,0.493,2.53,10443,Pequeno I (< 20k)
1303908,0.6,0.511,0.592,0.697,39795.59,0.531,2.91,78071,Médio (50k - 100k)
3170107,0.802,0.745,0.804,0.857,48765.36,0.486,0.52,10114,Pequeno I (< 20k)
4119905,0.769,0.709,0.773,0.824,45880.07,0.443,0.98,4921,Pequeno I (< 20k)
3129806,0.791,0.733,0.795,0.846,56081.08,0.511,0.75,47831,Pequeno II (20k - 50k)
2611101,0.728,0.662,0.694,0.829,13062.98,0.566,2.86,4472,Pequeno I (< 20k)
2913408,0.7,0.631,0.668,0.801,14409.8,0.502,1.64,5386,Pequeno I (< 20k)
4309209,0.763,0.703,0.768,0.818,33297.01,0.485,0.38,10697,Pequeno I (< 20k)
4104204,0.8,0.744,0.801,0.855,66952.85,0.462,1.2,97218,Médio (50k - 100k)
1505304,0.705,0.627,0.686,0.802,32981.76,0.575,1.81,22294,Pequeno II (20k - 50k)
2613800,0.6,0.521,0.579,0.701,18042.86,0.527,3.14,14824,Pequeno I (< 20k)
2700300,0.678,0.606,0.648,0.779,17891.08,0.538,2.71,19826,Pequeno I (< 20k)
2307809,0.696,0.626,0.665,0.797,15546.07,0.526,1.09,7588,Pequeno I (< 20k)
5002407,0.754,0.692,0.762,0.808,46647.18,0.501,2.31,18310,Pequeno I (< 20k)
2306900,0.773,0.711,0.734,0.874,18149.97,0.569,2.47,24031,Pequeno II (20k - 50k)
2903201,0.669,0.597,0.641,0.77,12625.96,0.524,2.08,23824,Pequeno II (20k - 50k)
2909604,0.694,0.625,0.663,0.795,30678.7,0.552,3.45,124399,Grande (100k - 500k)
3554201,0.742,0.679,0.751,0.797,57444.43,0.467,1.49,94965,Médio (50k - 100k)
5204805,0.776,0.716,0.782,0.83,36468.22,0.522,1.02,31743,Pequeno II (20k - 50k)
2510907,0.734,0.668,0.699,0.835,14420.86,0.493,1.71,6769,Pequeno I (< 20k)
5002704,0.74,0.677,0.75,0.794,52368.84,0.53,1.57,31483,Pequeno II (20k - 50k)
5006606,0.776,0.716,0.782,0.83,47933.73,0.508,1.84,14039,Pequeno I (< 20k)
2307254,0.636,0.56,0.61,0.737,23228.76,0.596,4.05,9908,Pequeno I (< 20k)
2311405,0.755,0.691,0.718,0.856,14686.03,0.549,3.46,7163,Pequeno I (< 20k)
2605905,0.644,0.569,0.618,0.745,17878.82,0.589,1.96,8956,Pequeno I (< 20k)
3537305,0.717,0.651,0.728,0.772,98017.82,0.528,2.1,27398,Pequeno II (20k - 50k)
3550308,0.844,0.791,0.842,0.899,48133.16,0.459,0.82,4907,Pequeno I (< 20k)
2101970,0.607,0.528,0.584,0.708,29429.4,0.54,2.24,54633,Médio (50k - 100k)
2702405,0.612,0.534,0.589,0.713,17746.95,0.565,2.89,10713,Pequeno I (< 20k)
2801009,0.697,0.627,0.666,0.798,25199.0,0.572,2.21,18102,Pequeno I (< 20k)
2900702,0.723,0.656,0.689,0.824,20181.41,0.521,1.97,21335,Pequeno II (20k - 50k)
2919926,0.644,0.569,0.618,0.745,32681.33,0.518,1.68,7665,Pequeno I (< 20k)
3547809,0.785,0.726,0.789,0.84,74987.73,0.551,0.37,14074,Pequeno I (< 20k)
5007109,0.803,0.745,0.806,0.857,25846.26,0.513,2.04,4085,Pequeno I (< 20k)
2211001,0.631,0.555,0.606,0.732,28711.4,0.524,2.54,14715,Pequeno I (< 20k)
2312700,0.63,0.554,0.605,0.731,17252.24,0.541,2.56,104133,Grande (100k - 500k)
2801306,0.622,0.545,0.598,0.723,15424.87,0.523,3.35,4027,Pequeno I (< 20k)
5007406,0.77,0.709,0.776,0.824,62461.17,0.51,1.29,48881,Pequeno II (20k - 50k)
2313351,0.632,0.556,0.607,0.733,9666.99,0.547,1.76,2168,Pequeno I (< 20k)
2919207,0.681,0.61,0.652,0.782,14432.3,0.508,2.47,23740,Pequeno II (20k - 50k)
2932903,0.608,0.529,0.585,0.709,16466.63,0.517,3.03,1500,Pequeno I (< 20k)
5003256,0.754,0.692,0.762,0.808,38319.21,0.535,1.68,39591,Pequeno II (20k - 50k)
5106109,0.764,0.703,0.771,0.818,28924.85,0.474,1.6,37592,Pequeno II (20k - 50k)
1304237,0.614,0.526,0.604,0.711,19889.62,0.575,2.15,47141,Pequeno II (20k - 50k)
2919553,0.642,0.567,0.616,0.743,28768.16,0.518,2.38,13100,Pequeno I (< 20k)
5003157,0.784,0.725,0.789,0.838,54963.52,0.562,0.74,9632,Pequeno I (< 20k)
2207900,0.617,0.54,0.594,0.718,12584.67,0.555,3.07,68640,Médio (50k - 100k)
2308906,0.612,0.534,0.589,0.713,19628.71,0.538,2.54,4208,Pequeno I (< 20k)
2703007,0.618,0.54,0.594,0.719,21614.81,0.542,2.93,39299,Pequeno II (20k - 50k)
2908408,0.645,0.57,0.619,0.746,18698.87,0.515,1.91,62759,Médio (50k - 100k)
2909901,0.694,0.624,0.663,0.795,22241.03,0.579,1.63,11840,Pequeno I (< 20k)
2925956,0.668,0.596,0.64,0.769,21826.49,0.58,2.28,39558,Pequeno II (20k - 50k)
3506003,0.7,0.632,0.712,0.755,28467.17,0.464,1.19,36501,Pequeno II (20k - 50k)
3509502,0.783,0.724,0.788,0.838,45030.59,0.494,1.93,2243,Pequeno I (< 20k)
4117701,0.837,0.785,0.835,0.892,60843.15,0.504,0.33,9451,Pequeno I (< 20k)
2610301,0.665,0.592,0.636,0.766,30636.97,0.58,2.88,25145,Pequeno II (20k - 50k)
2308104,0.725,0.658,0.69,0.826,14245.23,0.594,3.03,62781,Médio (50k - 100k)
2308500,0.648,0.574,0.622,0.749,30646.76,0.485,2.41,10946,Pequeno I (< 20k)
2907707,0.627,0.55,0.602,0.728,13802.58,0.482,2.89,62382,Médio (50k - 100k)
3131604,0.715,0.649,0.726,0.77,71806.35,0.556,1.26,3072,Pequeno I (< 20k)
3502507,0.74,0.677,0.749,0.795,48232.62,0.485,0.69,13387,Pequeno I (< 20k)
3534708,0.8,0.742,0.803,0.855,70368.91,0.502,1.71,9698,Pequeno I (< 20k)
3549904,0.732,0.668,0.742,0.787,55692.88,0.537,1.84,29686,Pequeno II (20k - 50k)
5002951,0.774,0.714,0.78,0.828,33602.42,0.528,1.55,2342,Pequeno I (< 20k)
5006200,0.723,0.658,0.735,0.777,63033.85,0.512,0.7,1500,Pequeno I (< 20k)
5003702,0.799,0.741,0.803,0.853,65388.45,0.547,1.2,4831,Pequeno I (< 20k)
2301901,0.704,0.635,0.672,0.805,11602.11,0.547,2.69,18686,Pequeno I (< 20k)
2707206,0.673,0.6,0.644,0.774,20288.58,0.49,2.97,3199,Pequeno I (< 20k)
2930105,0.662,0.589,0.634,0.763,11312.52,0.571,3.62,29340,Pequeno II (20k - 50k)
3133303,0.765,0.704,0.771,0.82,30266.14,0.474,1.29,42892,Pequeno II (20k - 50k)
3136900,0.804,0.747,0.806,0.859,76018.97,0.5,0.77,60027,Médio (50k - 100k)
3504404,0.811,0.755,0.813,0.866,81858.82,0.563,0.84,3657,Pequeno I (< 20k)
2307650,0.65,0.576,0.624,0.751,20665.17,0.524,2.16,34204,Pequeno II (20k - 50k)
2615102,0.618,0.54,0.594,0.719,27866.58,0.526,3.67,4436,Pequeno I (< 20k)
2905008,0.649,0.574,0.622,0.75,21118.3,0.548,2.06,3163,Pequeno I (< 20k)
2905156,0.633,0.557,0.608,0.734,10200.91,0.524,2.14,32281,Pequeno II (20k - 50k)
3202553,0.845,0.792,0.843,0.9,39141.94,0.501,1.76,33657,Pequeno II (20k - 50k)
5215306,0.736,0.672,0.746,0.79,88461.82,0.512,2.78,4205,Pequeno I (< 20k)
3205309,0.745,0.682,0.753,0.8,55291.87,0.582,0.2,22641,Pequeno II (20k - 50k)
5005806,0.843,0.789,0.842,0.897,47628.32,0.532,2.47,11225,Pequeno I (< 20k)
2501104,0.63,0.554,0.605,0.731,14960.75,0.533,2.58,210689,Grande (100k - 500k)
2902807,0.665,0.592,0.636,0.766,12611.12,0.566,2.5,25194,Pequeno II (20k - 50k)
2918001,0.682,0.611,0.652,0.783,21612.82,0.493,3.11,18878,Pequeno I (< 20k)
2928208,0.638,0.562,0.612,0.739,12995.33,0.571,2.57,20831,Pequeno II (20k - 50k)
2932804,0.531,0.445,0.516,0.632,21450.39,0.531,2.2,6705,Pequeno I (< 20k)
3133709,0.76,0.699,0.767,0.815,120461.15,0.508,1.12,4053,Pequeno I (< 20k)
3204401,0.763,0.701,0.769,0.818,35958.18,0.518,2.39,13191,Pequeno I (< 20k)
3539301,0.782,0.723,0.787,0.837,53470.23,0.544,2.23,9501,Pequeno I (< 20k)
3556107,0.765,0.704,0.771,0.82,103198.65,0.552,1.91,12861,Pequeno I (< 20k)
2512754,0.703,0.634,0.671,0.804,9230.48,0.525,2.18,7414,Pequeno I (< 20k)
3110608,0.75,0.688,0.758,0.805,53934.85,0.477,0.55,10378,Pequeno I (< 20k)
2501807,0.622,0.545,0.598,0.723,15302.02,0.515,2.24,49679,Pequeno II (20k - 50k)
5205497,0.71,0.643,0.722,0.764,40758.42,0.49,1.27,21485,Pequeno II (20k - 50k)
2105708,0.776,0.714,0.737,0.877,15905.05,0.585,2.36,51183,Médio (50k - 100k)
5005251,0.771,0.711,0.778,0.825,47113.58,0.481,2.23,9948,Pequeno I (< 20k)
