ano,id_municipio,id_escola,id_aluno,caderno,serie,rede,presenca,preenchimento_caderno,alfabetizado,proficiencia,peso_aluno
2023,5201405,60041749,52019514,1,2,3,0,0,0,,
2024,1100122,60000111,11022502,1,2,2,0,0,0,,
2024,1702109,60003941,17019521,1,2,3,0,0,0,,
2024,3138203,60020485,31013551,1,2,3,0,0,0,,
2024,3144805,60022138,31180256,1,2,3,0,0,0,,
2024,3518800,60027198,35260353,1,2,3,0,0,0,,
2024,3550308,60026699,35398942,1,2,2,0,0,0,,
2024,4109609,60033836,41138816,1,2,3,0,0,0,,
2024,4113700,60032213,41100821,1,2,3,0,0,0,,
2024,4204202,60035146,42022001,1,2,2,0,0,0,,
2024,4211108,60035832,42058637,1,2,3,0,0,0,,
2023,1502400,60001938,15037175,1,2,3,0,0,0,,
2023,2910701,60018237,29066769,1,2,3,0,0,0,,
2023,3139805,60021749,31105865,1,2,3,0,0,0,,
2023,4202453,60036475,42046648,1,2,3,0,0,0,,
2023,4303103,60037107,43071586,1,2,3,0,0,0,,
2024,1100205,60000003,11021316,1,2,3,0,0,0,,
2024,1503309,60002343,15034210,1,2,3,0,0,0,,
2024,2926400,60017649,29187510,1,2,3,0,0,0,,
2024,3151800,60021551,31185163,1,2,3,0,0,0,,
2024,3170206,60020748,31182733,1,2,3,0,0,0,,
2024,3503901,60028248,35087520,1,2,3,0,0,0,,
2023,2104800,60005947,21055400,1,2,3,0,0,0,,
2023,2303931,60009641,23039249,1,2,3,0,0,0,,
2023,2705101,60014215,27014432,1,2,3,0,0,0,,
2023,2927408,60016428,29112596,1,2,3,0,0,0,,
2023,3300506,60023829,33010486,1,2,3,0,0,0,,
2023,5101407,60040703,51019663,1,2,3,0,0,0,,
2023,5205497,60042580,52069728,1,2,3,0,0,0,,
2024,1301506,60001316,13057896,1,2,3,0,0,0,,
2024,1302603,60000843,13037846,1,2,3,0,0,0,,
2024,1503903,60001555,15039034,1,2,3,0,0,0,,
2024,1707207,60003976,17019721,1,2,3,0,0,0,,
2024,2600054,60012296,26025917,1,2,3,0,0,0,,
2024,4300570,60037185,43023719,1,2,3,0,0,0,,
2024,4314100,60037787,43055041,1,2,3,0,0,0,,
2024,5208707,60042111,52076900,1,2,3,0,0,0,,
2023,3106200,60018338,31115859,1,2,2,0,0,0,,
2023,3136702,60019310,31190716,1,2,2,0,0,0,,
2023,3136652,60021430,31182774,1,2,3,0,0,0,,
2023,5004809,60040482,50608590,1,2,3,0,0,0,,
2024,2704302,60013997,27032920,1,2,3,0,0,0,,
2024,3301702,60024046,33025977,1,2,3,0,0,0,,
2024,3502309,60029858,35028888,1,2,3,0,0,0,,
2024,3506102,60027907,35085040,1,2,3,0,0,0,,
2024,3530607,60030251,35298076,1,2,3,0,0,0,,
2024,4106902,60034359,41133690,1,2,3,0,0,0,,
2024,4314902,60039486,43069132,1,2,3,0,0,0,,
2023,1302603,60001368,13021703,1,2,2,0,0,0,,
2023,2301307,60008802,23052241,1,2,3,0,0,0,,
2023,3302700,60025905,33049508,1,2,3,0,0,0,,
2023,4207007,60035082,42030850,1,2,2,0,0,0,,
2023,4209151,60035350,42041116,1,2,3,0,0,0,,
2023,4202008,60035735,42101868,1,2,3,0,0,0,,
2023,5103403,60041489,51016728,1,2,3,0,0,0,,
2024,1100205,60000027,11009989,1,2,3,0,0,0,,
2024,1200104,60000543,12000390,1,2,3,0,0,0,,
2024,1506807,60001661,15071305,1,2,3,0,0,0,,
2024,3130101,60021628,31179911,1,2,3,0,0,0,,
2024,3136702,60018946,31000239,1,2,2,0,0,0,,
2024,3303807,60023747,33066420,1,2,3,0,0,0,,
2023,1503903,60001390,15049857,1,2,3,0,0,0,,
2023,2211001,60006475,22010012,1,2,3,0,0,0,,
2023,2913903,60017160,29090194,1,2,3,0,0,0,,
2023,3170107,60022506,31068467,1,2,3,0,0,0,,
2023,4115804,60033270,41062639,1,2,3,0,0,0,,
2024,1101435,60000280,11008269,1,2,3,0,0,0,,
2024,1500800,60001891,15010514,1,2,3,0,0,0,,
2024,2901007,60016291,29004743,1,2,3,0,0,0,,
2024,2907202,60014718,29049196,1,2,3,0,0,0,,
2024,3519071,60029020,35218894,1,2,3,0,0,0,,
2024,4105805,60033456,41138463,1,2,3,0,0,0,,
2024,4106902,60033872,41133308,1,2,3,0,0,0,,
2024,4205407,60034375,42091516,1,2,2,0,0,0,,
2023,1300607,60000417,13003045,1,2,3,0,0,0,,
2023,1716109,60003870,17014590,1,2,3,0,0,0,,
2023,2610905,60013160,26072679,1,2,3,0,0,0,,
2023,2911808,60017272,29126915,1,2,3,0,0,0,,
2023,3304557,60025349,33107183,1,2,3,0,0,0,,
2023,5208707,60041791,52083628,1,2,3,0,0,0,,
2023,5208806,60041890,52039367,1,2,3,0,0,0,,
2024,1302603,60001296,13057020,1,2,3,0,0,0,,
2024,1302603,60001349,13030566,1,2,3,0,0,0,,
2024,1505536,60003304,15060624,1,2,3,0,0,0,,
2024,1702109,60004207,17009164,1,2,3,0,0,0,,
2024,2608057,60013160,26067842,1,2,3,0,0,0,,
2024,2927408,60017643,29219753,1,2,3,0,0,0,,
2024,3106200,60020550,31184387,1,2,3,0,0,0,,
2024,3550308,60031789,35388383,1,2,2,0,0,0,,
2024,3552205,60027203,35209304,1,2,3,0,0,0,,
2024,4118907,60031898,41138060,1,2,3,0,0,0,,
2024,4209177,60035490,42079026,1,2,3,0,0,0,,
2023,1302603,60001217,13037474,1,2,3,0,0,0,,
2023,3304557,60025025,33081695,1,2,3,0,0,0,,
2023,5004502,60040667,50597140,1,2,3,0,0,0,,
2023,5101407,60040703,51019671,1,2,3,0,0,0,,
2023,5105259,60041344,51035934,1,2,3,0,0,0,,
2023,5205497,60041952,52069118,1,2,3,0,0,0,,
2024,3502101,60029188,35006242,1,2,3,0,0,0,,
2024,3524402,60028631,35089583,1,2,3,0,0,0,,
2024,4314902,60039079,43067899,1,2,3,0,0,0,,
2024,4316907,60038353,43076849,1,2,3,0,0,0,,
2024,5211503,60041676,52040219,1,2,3,1,0,0,,
2024,5213806,60041532,52074517,1,2,3,0,0,0,,
2023,2908606,60015987,29131161,1,2,3,0,0,0,,
2023,2908606,60018164,29131201,1,2,3,0,0,0,,
2024,1506807,60001639,15071793,1,2,3,0,0,0,,
2024,2203909,60006708,22032188,1,2,3,0,0,0,,
2024,2504009,60010776,25022714,1,2,3,0,0,0,,
2024,4106902,60033481,41134188,1,2,3,0,0,0,,
2023,2511905,60011428,25036920,1,2,3,0,0,0,,
2023,4208906,60036014,42053212,1,2,3,0,0,0,,
2023,5201405,60041739,52018555,1,2,3,0,0,0,,
2024,1302603,60001137,13045852,1,2,2,0,0,0,,
2024,4218202,60034780,42083854,1,2,2,0,0,0,,
2023,2933208,60016530,29124927,1,2,3,0,0,0,,
2023,2904605,60016819,29051548,1,2,3,0,0,0,,
2023,3106200,60018331,31115106,1,2,2,0,0,0,,
2023,3122306,60021031,31001812,1,2,3,0,0,0,,
2023,4310207,60037898,43084276,1,2,3,0,0,0,,
2023,4316907,60038857,43110365,1,2,2,0,0,0,,
2024,1302603,60001338,13047825,1,2,3,0,0,0,,
2024,3162807,60020957,31094947,1,2,3,0,0,0,,
2024,3303906,60023806,33067128,1,2,3,0,0,0,,
2024,3522208,60029338,35275793,1,2,3,0,0,0,,
2024,4314902,60038116,43066681,1,2,2,0,0,0,,
2023,1300300,60000545,13001601,1,2,3,0,0,0,,
2023,2203206,60006761,22035078,1,2,3,0,0,0,,
2023,2919553,60017743,29048002,1,2,3,0,0,0,,
2023,4314100,60038286,43107072,1,2,2,0,0,0,,
2023,4304507,60039977,43096226,1,2,3,0,0,0,,
2023,5003702,60040408,50560220,1,2,3,0,0,0,,
2023,5218508,60042712,52054037,1,2,3,0,0,0,,
2024,3153608,60022120,31028886,1,2,3,0,0,0,,
2024,3303005,60023189,33150585,1,2,3,0,0,0,,
2024,3518800,60027905,35263627,1,2,3,0,0,0,,
2024,5002704,60039682,50002098,1,2,3,0,0,0,,
2023,1503606,60002380,15048017,1,2,3,0,0,0,,
2023,3170206,60021357,31003358,1,2,3,0,0,0,,
2023,4314902,60038551,43004785,1,2,2,0,0,0,,
2023,5004502,60040667,50596920,1,2,3,0,0,0,,
2024,3128907,60020439,31176563,1,2,3,0,0,0,,
2024,3301009,60023217,33016633,1,2,3,0,0,0,,
2023,1301506,60000479,13009167,1,2,2,0,0,0,,
2023,1302603,60000718,13026058,1,2,2,0,0,0,,
2023,2403251,60010520,24019148,1,2,3,0,0,0,,
2023,2508604,60011667,25036912,1,2,3,0,0,0,,
2023,2930774,60017771,29137679,1,2,3,0,0,0,,
2023,3300704,60023925,33015397,1,2,3,0,0,0,,
2023,4115804,60033266,41135620,1,2,3,0,0,0,,
2024,2921708,60017240,29155585,1,2,3,0,0,0,,
2024,3118601,60018173,31066045,1,2,3,0,0,0,,
2024,4203600,60035811,42018509,1,2,3,0,0,0,,
2024,5105200,60040497,51020679,1,2,3,0,0,0,,
2023,3138203,60021304,31003898,1,2,3,0,0,0,,
2023,3306305,60024080,33152284,1,2,3,0,0,0,,
2023,4102802,60032461,41078485,1,2,3,0,0,0,,
2024,3139409,60019080,31181278,1,2,3,0,0,0,,
2024,3518800,60027566,35261192,1,2,3,0,0,0,,
2024,3550308,60026529,35432285,1,2,2,0,0,0,,
2024,4106902,60033520,41125489,1,2,3,0,0,0,,
2024,5201405,60041090,52017422,1,2,3,0,0,0,,
2024,5300108,60042196,53011048,1,2,2,0,0,0,,
2023,1500347,60002984,15104922,1,2,3,0,0,0,,
2023,2610707,60012781,26035101,1,2,3,0,0,0,,
2023,4209102,60035244,42060462,1,2,3,0,0,0,,
2023,5103403,60041310,51015899,1,2,3,0,0,0,,
2024,1302603,60001312,13055943,1,2,2,0,0,0,,
2024,1506807,60003532,15070536,1,2,3,0,0,0,,
2024,2611606,60012821,26047182,1,2,3,0,0,0,,
2024,4114609,60032626,41137855,1,2,3,0,0,0,,
2024,4206504,60035569,42033991,1,2,3,0,0,0,,
2024,5208806,60042117,52074059,1,2,3,0,0,0,,
2023,2304400,60009517,23002123,1,2,3,0,0,0,,
2023,4202404,60035154,42007910,1,2,3,0,0,0,,
2023,4214003,60035359,42041574,1,2,3,0,0,0,,
2023,5106752,60040910,51024969,1,2,3,0,0,0,,
2024,1506807,60001640,15071946,1,2,3,0,0,0,,
2024,3304557,60024995,33125494,1,2,3,0,0,0,,
2024,4115408,60032944,41134800,1,2,3,0,0,0,,
2024,5002704,60039715,50005204,1,2,3,0,0,0,,
2023,2516706,60010721,25037805,1,2,3,0,0,0,,
2023,2903607,60015831,29016250,1,2,3,0,0,0,,
2023,3305604,60023901,33023704,1,2,3,0,0,0,,
2023,3301702,60024536,33024767,1,2,3,0,0,0,,
2023,4105508,60032337,41036958,1,2,3,0,0,0,,
2023,4216602,60034901,42086126,1,2,3,0,0,0,,
2023,4202404,60035137,42008595,1,2,2,0,0,0,,
2024,2110203,60004502,21066952,1,2,3,0,0,0,,
2024,2931350,60017730,29251956,1,2,3,0,0,0,,
2024,3550308,60031637,35377627,1,2,2,0,0,0,,
2024,4104907,60032506,41137361,1,2,3,0,0,0,,
2024,4310330,60037419,43095816,1,2,3,0,0,0,,
2023,2105989,60004886,21032010,1,2,3,0,0,0,,
2023,3304201,60026148,33076732,1,2,3,0,0,0,,
2023,4214805,60036240,42078515,1,2,3,0,0,0,,
2024,3548906,60031569,35173506,1,2,2,0,0,0,,
2024,4219853,60036061,42018871,1,2,3,0,0,0,,
2023,2510105,60010824,25037686,1,2,3,0,0,0,,
2023,3201308,60022960,32020381,1,2,3,0,0,0,,
2023,4100400,60033767,41004778,1,2,3,0,0,0,,
2023,4309308,60037831,43022315,1,2,3,0,0,0,,
2024,1505437,60002675,15054335,1,2,3,0,0,0,,
2024,1709500,60004018,17019486,1,2,3,0,0,0,,
2024,3530300,60030294,35098599,1,2,3,0,0,0,,
2024,4119152,60033639,41131185,1,2,3,0,0,0,,
2024,4321204,60039535,43053828,1,2,3,0,0,0,,
2023,1500800,60001684,15011181,1,2,2,0,0,0,,
2023,2507507,60011618,25038089,1,2,3,0,0,0,,
2024,2110500,60005648,21069285,1,2,3,0,0,0,,
2024,3550308,60029419,35343297,1,2,3,0,0,0,,
2024,4106902,60034286,41133378,1,2,3,0,0,0,,
2023,1302603,60001222,13034045,1,2,3,0,0,0,,
2023,2407401,60010370,24013855,1,2,3,0,0,0,,
2023,2507507,60011303,25003291,1,2,2,0,0,0,,
2023,2507507,60011347,25005654,1,2,3,0,0,0,,
2023,2910800,60015546,29074166,1,2,3,0,0,0,,
2023,3204807,60023268,32045904,1,2,3,0,0,0,,
2023,4202909,60035887,42014072,1,2,2,0,0,0,,
2023,4209102,60036396,42057635,1,2,3,0,0,0,,
2024,3124104,60021906,31190608,1,2,3,0,0,0,,
2024,4306767,60039477,43025784,1,2,3,0,0,0,,
2024,5108402,60040698,51046683,1,2,3,0,0,0,,
2023,1709500,60003880,17020008,1,2,3,0,0,0,,
2023,2101202,60004888,21046539,1,2,3,0,0,0,,
2023,2700706,60013651,27000898,1,2,3,0,0,0,,
2023,3118601,60020928,31028618,1,2,3,0,0,0,,
2023,3153608,60021020,31202568,1,2,3,0,0,0,,
2023,4115200,60034334,41093855,1,2,3,0,0,0,,
2023,5105259,60041328,51035776,1,2,3,0,0,0,,
2024,1100338,60000046,11004671,1,2,3,0,0,0,,
2024,1508126,60003064,15085034,1,2,3,0,0,0,,
2024,2109809,60004630,21067772,1,2,3,0,0,0,,
2024,2602902,60012600,26033852,1,2,3,0,0,0,,
2024,3201308,60022572,32018173,1,2,3,0,0,0,,
2024,3205002,60022610,32044700,1,2,3,0,0,0,,
2024,3541000,60027503,35145023,1,2,3,0,0,0,,
2024,4125456,60032655,41137592,1,2,3,0,0,0,,
2024,4127106,60032459,41137557,1,2,3,0,0,0,,
2024,4209458,60036018,42089981,1,2,3,0,0,0,,
2023,1507300,60003503,15092490,1,2,3,0,0,0,,
2023,2503704,60010567,25035465,1,2,3,0,0,0,,
2023,2704302,60014327,27026836,1,2,3,0,0,0,,
2023,4107009,60032808,41116835,1,2,3,0,0,0,,
2023,4205407,60034803,42033729,1,2,2,0,0,0,,
2024,2905602,60016738,29032403,1,2,3,0,0,0,,
2024,3157807,60020710,31185500,1,2,3,0,0,0,,
2024,3518800,60026059,35259146,1,2,3,0,0,0,,
2024,3530607,60025900,35294948,1,2,3,0,0,0,,
2024,3550308,60031700,35351455,1,2,2,0,0,0,,
2024,4314407,60037851,43057148,1,2,3,0,0,0,,
2023,3300100,60024172,33001771,1,2,3,0,0,0,,
2023,4104907,60032913,41110984,1,2,3,0,0,0,,
2024,3302858,60025339,33049456,1,2,3,0,0,0,,
2024,4106902,60033503,41079133,1,2,3,0,0,0,,
2024,4108304,60032794,41134361,1,2,3,0,0,0,,
2024,5217609,60041856,52075554,1,2,3,0,0,0,,
2023,1507151,60003453,15093454,1,2,3,0,0,0,,
2023,2110278,60004412,21018625,1,2,3,0,0,0,,
2023,2102705,60004555,21012669,1,2,3,0,0,0,,
2023,2211001,60007170,22014641,1,2,3,0,0,0,,
2023,3304201,60024055,33075353,1,2,3,0,0,0,,
2023,4122701,60034358,41004161,1,2,3,0,0,0,,
2024,1500503,60001696,15004080,1,2,3,0,0,0,,
2024,3518800,60030035,35267139,1,2,3,0,0,0,,
2024,5103403,60040390,51050663,1,2,3,0,0,0,,
2024,5105259,60040702,51026242,1,2,3,0,0,0,,
2023,1500404,60003264,15003421,1,2,3,0,0,0,,
2023,2202307,60006715,22034932,1,2,3,0,0,0,,
2023,3200607,60023423,32026072,1,2,3,0,0,0,,
2023,4202107,60035315,42005824,1,2,3,0,0,0,,
2023,5208707,60042802,52010072,1,2,3,0,0,0,,
2024,1600303,60003796,16004351,1,2,3,0,0,0,,
2024,2112456,60006183,21067795,1,2,3,0,0,0,,
2024,2706703,60013734,27022952,1,2,3,0,0,0,,
2024,4100400,60034047,41109815,1,2,3,0,0,0,,
2024,4114807,60032071,41008985,1,2,3,0,0,0,,
2024,4202008,60035281,42003515,1,2,3,0,0,0,,
2024,4203204,60035994,42016799,1,2,3,0,0,0,,
2023,2110005,60004731,21022144,1,2,3,0,0,0,,
2023,2103307,60006156,21044662,1,2,3,0,0,0,,
2023,3302205,60026002,33038980,1,2,3,0,0,0,,
2023,4120903,60033535,41131398,1,2,3,0,0,0,,
2023,4119954,60034458,41103012,1,2,3,0,0,0,,
2024,2207900,60006622,22006198,1,2,3,0,0,0,,
2024,2914505,60015291,29101012,1,2,3,0,0,0,,
2024,3530607,60027413,35295976,1,2,3,0,0,0,,
2023,1302603,60001183,13021749,1,2,3,0,0,0,,
2023,2108306,60004473,21063294,1,2,3,0,0,0,,
2023,3304557,60024899,33084677,1,2,3,0,0,0,,
2023,3304557,60025243,33118907,1,2,3,0,0,0,,
2023,4106902,60034371,41053394,1,2,3,0,0,0,,
2023,4315602,60038728,43036958,1,2,3,0,0,0,,
2024,3304557,60024784,33137914,1,2,3,0,0,0,,
2023,1100114,60000100,11005219,1,2,2,0,0,0,,
2023,2105005,60005874,21016856,1,2,3,0,0,0,,
2023,2303303,60009627,23048466,1,2,3,0,0,0,,
2023,2700300,60013766,27000685,1,2,3,0,0,0,,
2023,4102802,60034471,41078657,1,2,3,0,0,0,,
2023,4102109,60034501,41088640,1,2,3,0,0,0,,
2023,4101507,60034741,41002594,1,2,3,0,0,0,,
2023,4316907,60038857,43110376,1,2,2,0,0,0,,
2023,5205109,60042248,52026407,1,2,3,0,0,0,,
2023,5221403,60042710,52037848,1,2,3,0,0,0,,
2024,2611606,60012564,26078936,1,2,3,0,0,0,,
2024,2925303,60017800,29180461,1,2,3,0,0,0,,
2024,3532306,60030977,35224054,1,2,3,0,0,0,,
2024,5102504,60040460,51047703,1,2,3,0,0,0,,
2023,1301209,60000525,13007461,1,2,3,0,0,0,,
2023,1505536,60002823,15075856,1,2,3,0,0,0,,
2023,2211001,60007056,22013368,1,2,3,0,0,0,,
2023,2303303,60009627,23048483,1,2,3,0,0,0,,
2023,2408003,60010389,24011980,1,2,2,0,0,0,,
2023,2917508,60015418,29061559,1,2,3,0,0,0,,
2023,2907806,60018096,29066162,1,2,3,0,0,0,,
2023,4125506,60034155,41026486,1,2,3,0,0,0,,
2023,4215802,60036126,42081316,1,2,3,0,0,0,,
2023,4309407,60037859,43105215,1,2,2,0,0,0,,
2024,1501402,60003263,15094913,1,2,3,0,0,0,,
2024,1507953,60002402,15080270,1,2,3,0,0,0,,
2024,2312908,60009084,23005818,1,2,3,0,0,0,,
2024,2930154,60017107,29908790,1,2,3,0,0,0,,
2024,3552403,60028071,35216242,1,2,3,0,0,0,,
2024,4113304,60033089,41006187,1,2,3,0,0,0,,
2024,4204202,60035129,42023109,1,2,2,0,0,0,,
2024,4211900,60034497,42064812,1,2,3,0,0,0,,
2024,5103403,60040398,51049847,1,2,3,0,0,0,,
2023,2207702,60006337,22034065,1,2,3,0,0,0,,
2023,3305554,60024407,33146185,1,2,3,0,0,0,,
2023,3304557,60025305,33122610,1,2,3,0,0,0,,
2023,4311981,60040150,43023520,1,2,3,0,0,0,,
2024,1100205,60000226,11022399,1,2,3,0,0,0,,
2024,2403103,60009781,24029185,1,2,3,0,0,0,,
2024,4203204,60036189,42017248,1,2,3,0,0,0,,
2024,5103403,60040383,51038540,1,2,3,0,0,0,,
2023,2920908,60017209,29017021,1,2,3,0,0,0,,
2023,2911808,60017272,29126930,1,2,3,0,0,0,,
2023,2925204,60017687,29104998,1,2,3,0,0,0,,
2023,4209409,60036064,42066297,1,2,2,0,0,0,,
2024,1100452,60000261,11019920,1,2,3,0,0,0,,
2024,1302603,60001180,13049330,1,2,3,0,0,0,,
2024,1501402,60001955,15089426,1,2,3,0,0,0,,
2024,2905602,60016738,29032410,1,2,3,0,0,0,,
2024,3143302,60020900,31181379,1,2,3,0,0,0,,
2024,3542701,60028202,35066894,1,2,3,0,0,0,,
2024,4203204,60035285,42017720,1,2,3,0,0,0,,
2024,5300108,60042157,53015125,1,2,2,0,0,0,,
2023,1507102,60002819,15100640,1,2,3,0,0,0,,
2023,3143302,60019528,31140169,1,2,2,0,0,0,,
2023,5201405,60041736,52018274,1,2,3,0,0,0,,
2024,3118304,60021654,31163708,1,2,3,0,0,0,,
2024,3170206,60020752,31182740,1,2,3,0,0,0,,
2024,4118006,60033932,41028243,1,2,3,0,0,0,,
2023,1300409,60000996,13002332,1,2,3,0,0,0,,
2023,2302206,60009166,23093356,1,2,3,0,0,0,,
2023,2313955,60009516,23087743,1,2,3,0,0,0,,
2023,2611606,60012862,26055589,1,2,3,0,0,0,,
2023,4115705,60034782,41100732,1,2,3,0,0,0,,
2023,5106307,60040835,51026865,1,2,3,0,0,0,,
2024,1200203,60000415,12002248,1,2,2,0,0,0,,
2024,1302603,60001516,13051075,1,2,3,0,0,0,,
2024,1500107,60002875,15000447,1,2,3,0,0,0,,
2024,1500909,60003473,15012281,1,2,3,0,0,0,,
2024,2704302,60013618,27032616,1,2,3,0,0,0,,
2024,5201405,60041877,52073051,1,2,3,0,0,0,,
2023,1500404,60001427,15003001,1,2,3,0,0,0,,
2023,2507507,60011318,25036676,1,2,3,0,0,0,,
2023,2704302,60013986,27001380,1,2,3,0,0,0,,
2023,2927408,60018123,29115633,1,2,3,0,0,0,,
2023,3118304,60020766,31176652,1,2,3,0,0,0,,
2023,4106902,60033927,41043269,1,2,3,0,0,0,,
2024,4127700,60032682,41138729,1,2,3,0,0,0,,
2023,2403251,60010468,24018730,1,2,3,0,0,0,,
2023,2910701,60015728,29066407,1,2,3,0,0,0,,
2023,4322400,60039576,43013523,1,2,3,0,0,0,,
2023,4318051,60040147,43108743,1,2,3,0,0,0,,
2024,2408102,60010281,24005823,1,2,3,0,0,0,,
2024,3106200,60018113,31184317,1,2,3,0,0,0,,
